ad_id,list_id,area,area_name,ward,ward_name,street_name,company_ad,apartment_type,size,rooms,toilets,longitude,latitude,owner,deposit,price_million_per_m2,price
153419653,112854370,102,Quận 7,9471.0,Phường Tân Quy,Đường Số 85,True,"Căn hộ dịch vụ, mini",35.0,1,1.0,106.711,10.7393,False,6800000.0,0.194285714285714,6800000.0
154793778,114034019,96,Quận 1,9226.0,Phường Cầu Kho,Trần Hưng Ðạo,True,"Căn hộ dịch vụ, mini",40.0,1,1.0,106.6871,10.7583,False,0.0,0.25,10000000.0
153725487,113116524,102,Quận 7,9467.0,Phường Tân Thuận Tây,Nguyễn Văn Linh,True,Penthouse,250.0,4,4.0,106.7236,10.7508,False,0.0,0.2,50000000.0
155095531,114296174,108,Quận Bình Tân,9458.0,Phường Bình Hưng Hoà B,Bình Hưng Hòa B,True,Chung cư,88.0,3,2.0,106.583,10.799900000000001,False,7500000.0,0.08522727272727201,7500000.0
151432490,111150446,119,Thành phố Thủ Đức,9341.0,Phường An Phú (Quận 2 cũ),Nguyễn Thị Định,True,Chung cư,51.3,1,1.0,106.75348,10.79161,False,18000000.0,0.175438596491228,9000000.0
154944844,114165116,113,Quận Tân Phú,9316.0,Phường Sơn Kỳ,Bờ Bao Tân Thắng,True,Chung cư,45.0,1,1.0,106.6216,10.8073,False,5000000.0,0.11111111111111101,5000000.0
154944845,114165123,96,Quận 1,9218.0,Phường Đa Kao,nguyễn bỉnh khiêm ,True,Duplex,40.0,2,1.0,106.7024,10.7895,False,7800000.0,0.195,7800000.0
154641695,113902992,112,Quận Tân Bình,9313.0,Phường 15,Trần Thái Tông,True,"Căn hộ dịch vụ, mini",26.0,1,1.0,106.6337,10.818,False,0.0,0.192307692307692,5000000.0
149600159,109577616,119,Thành phố Thủ Đức,9341.0,Phường An Phú (Quận 2 cũ),Nguyễn Thị Định,True,Chung cư,76.0,2,2.0,106.7527,10.7917,False,0.0,0.18421052631578902,14000000.0
154944860,114165138,99,Quận 4,9399.0,Phường 6,Bến Vân Đồn,True,Officetel,32.0,1,1.0,106.6996,10.7636,False,22000000.0,0.34375000000000006,11000000.0
154944872,114165151,108,Quận Bình Tân,9459.0,Phường Bình Trị Đông,Lê Văn Quới,True,"Căn hộ dịch vụ, mini",30.0,1,1.0,106.6109,10.7761,False,5500000.0,0.18333333333333302,5500000.0
